Comment,Description,Designator,Footprint,LibRef,Quantity,Variant,Revision,Trenz-Stock,Value,AN,Case,Center-X(Mil),Center-X(mm),Center-Y(Mil),Center-Y(mm),Layer,Rotation,Pad-X(Mil),Pad-X(mm),Pad-Y(Mil),Pad-Y(mm),Ref-X(Mil),Ref-X(mm),Ref-Y(Mil),Ref-Y(mm)
"33R","WID SMD 33R 1% 0,05W","R26","RESC0603X26N","25021","1","","01","","33","25021","0603 (0201)","1885.516","47.892","473.066","12.016","Bottom","90","1885.516","47.892","461.845","11.731","1885.516","47.892","473.065","12.016"
"33R","WID SMD 33R 1% 0,05W","R27","RESC0603X26N","25021","1","","01","","33","25021","0603 (0201)","2257.974","57.353","672.557","17.083","Top","90","2257.974","57.353","661.336","16.798","2257.974","57.353","672.557","17.083"
"10K","WID SMD 10K 1% 0,05W","R28","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1745.389","44.333","476.93","12.114","Bottom","90","1745.389","44.333","465.709","11.829","1745.389","44.333","476.929","12.114"
"10K","WID SMD 10K 1% 0,05W","R29","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1678.554","42.635","476.93","12.114","Bottom","90","1678.554","42.635","465.709","11.829","1678.554","42.635","476.929","12.114"
"10K","WID SMD 10K 1% 0,05W","R30","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2431.078","61.749","476.93","12.114","Bottom","90","2431.078","61.749","465.709","11.829","2431.078","61.749","476.929","12.114"
"470R","WID SMD 470R 1% 0,063W","R31","RESC1005X40N","22769","1","","01","","470","22769","1005 (0402)","2258.203","57.358","1446.203","36.734","Top","270","2258.203","57.358","1463.919","37.184","2258.204","57.358","1446.204","36.734"
"200K","WID SMD 200K 1% 0,063W","R32","RESC1005X40N","23846","1","","01","","200K","23846","1005 (0402)","374.015","9.5","688.975","17.5","Top","270","374.015","9.5","706.692","17.95","374.016","9.5","688.976","17.5"
"301K","WID SMD 301K 1% 0,063W","R33","RESC1005X40N","26224","1","","01","","301k","26224","1005 (0402)","384.48","9.766","627.68","15.943","Top","270","384.48","9.766","645.396","16.393","384.481","9.766","627.681","15.943"
"33R","WID SMD Netz 4 fach 33R","R34","RESCAX50P100X200X55-8N","23422","1","","01","","33","23422","0402x4 0804 ","433.071","11","521.654","13.25","Bottom","0","411.417","10.45","489.173","12.425","433.071","11","521.654","13.25"
"33R","WID SMD Netz 4 fach 33R","R35","RESCAX50P100X200X55-8N","23422","1","","01","","33","23422","0402x4 0804 ","2673.228","67.9","870.079","22.1","Top","270","2705.709","68.725","891.732","22.65","2673.228","67.9","870.079","22.1"
"680R","WID SMD 680R 1% 0,063W","R36","RESC1005X40N","22761","1","","01","","680","22761","1005 (0402)","2220.68","56.405","1446.203","36.734","Top","270","2220.68","56.405","1463.919","37.184","2220.681","56.405","1446.204","36.734"
"4K7","WID SMD 4K7 1% 0,05W","R37","RESC0603X26N","25242","1","","01","","4.7K","25242","0603 (0201)","1175.145","29.849","956.827","24.303","Bottom","180","1186.366","30.134","956.827","24.303","1175.145","29.849","956.827","24.303"
"4K7","WID SMD 4K7 1% 0,05W","R38","RESC0603X26N","25242","1","","01","","4.7K","25242","0603 (0201)","1038.285","26.372","760.187","19.309","Bottom","180","1049.505","26.657","760.187","19.309","1038.285","26.372","760.187","19.309"
"10K","WID SMD 10K 1% 0,05W","R39","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1578.74","40.1","1299.213","33","Top","90","1578.74","40.1","1287.992","32.715","1578.74","40.1","1299.213","33"
"10K","WID SMD 10K 1% 0,05W","R40","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2330.709","59.2","1425.197","36.2","Top","0","2319.488","58.915","1425.197","36.2","2330.709","59.2","1425.197","36.2"
"0R","WID SMD 0R","R41","RESC1005X40N","22738","1","","01","","0","22738","1005 (0402)","1830.708","46.5","544.595","13.833","Top","270","1830.708","46.5","562.312","14.283","1830.709","46.5","544.596","13.833"
"33R","WID SMD Netz 4 fach 33R","R42","RESCAX50P100X200X55-8N","23422","1","","01","","33","23422","0402x4 0804 ","2779.528","70.6","480.315","12.2","Top","90","2747.047","69.775","458.661","11.65","2779.528","70.6","480.315","12.2"
"CHS-04TA","DIP Schalter 4 fach 1,27mm SMD","S3","CHS-04TA","23417","1","","01","Yes","","23417","","1774.448","45.071","1410.409","35.824","Top","270","1849.448","46.976","1510.409","38.364","1774.448","45.071","1410.409","35.824"
"4pin button","4pin button","SW1","KMS221G_LFS","KMS221G_LFS","1","","01","","KMS221G_LFS","","","2418.569","61.432","1514.058","38.457","Top","180","2516.994","63.932","1482.562","37.657","2418.569","61.432","1514.058","38.457"
"SiT8008AI-73-XXS-33.333333E","SiT8008AI-73-XXS-33.333333E MEMS Oszillator 33.333333MHz","U1","2016","25023","1","","01","Yes","33M","25023","2.0  x 1.6mm","1361.467","34.581","1051.964","26.72","Bottom","90","1331.94","33.831","1075.585","27.32","1361.467","34.581","1051.964","26.72"
"XA7Z020-1CLG400I","XA7Z020-1CLG400I","U2","BGA400C80P20X20_1700X1700X160N","25981","1","","01","Yes","","25981","CLG400","1234.144","31.347","801.387","20.355","Top","270","1533.356","38.947","1100.6","27.955","1234.144","31.347","801.387","20.355"
"W25Q256FVBIG","W25Q256FVBIG","U3","BGA24C100P5X5_800X600X120N","25017","1","","01","Yes","","25017","TFBGA24","1813.083","46.052","810.135","20.577","Top","270","1891.823","48.052","849.505","21.577","1813.083","46.052","810.135","20.577"
"W25Q256FVBIG","W25Q256FVBIG","U4","BGA24C100P5X5_800X600X120N","25017","1","","01","Yes","","25017","TFBGA24","1812.689","46.042","1128.692","28.669","Top","270","1891.429","48.042","1168.062","29.669","1812.689","46.042","1128.692","28.669"
"TiWi-uB2","","U5","TiWi-uB2","TiWi-uB2","1","","01","","","","","806.594","20.487","1396.653","35.475","Top","90","931.102","23.65","1311.024","33.3","807.087","20.5","1397.638","35.5"
"ATSHA204A-STUCZ-T","ATSHA204A-STUCZ-T","U6","SOT95P237X112-3N","26027","1","","01","Yes","","26027","SOT23-3","1925.827","48.916","531.991","13.513","Top","0","1880.552","47.766","569.393","14.463","1925.827","48.916","531.991","13.513"
"EN5311QI","EN5311QI","U7","EN5311QI","25492","1","","01","Yes","","25492","QFN20","502.762","12.77","712.351","18.094","Top","180","577.566","14.67","648.374","16.469","502.762","12.77","712.351","18.094"
"EN5311QI","EN5311QI","U8","EN5311QI","25492","1","","01","Yes","","25492","QFN20","501.968","12.75","994.095","25.25","Top","180","576.771","14.65","930.118","23.625","501.968","12.75","994.095","25.25"
