Comment,Description,Designator,Footprint,LibRef,Quantity,Variant,Revision,Trenz-Stock,Value,AN,Case,Center-X(Mil),Center-X(mm),Center-Y(Mil),Center-Y(mm),Layer,Rotation,Pad-X(Mil),Pad-X(mm),Pad-Y(Mil),Pad-Y(mm),Ref-X(Mil),Ref-X(mm),Ref-Y(Mil),Ref-Y(mm)
"47µF","KON 47µF 6.3V  X5R SMD 20%","C25","CAPC3216X180N","24557","1","","01","","47u","24557","3216 (1206)","795.276","20.2","1507.874","38.3","Bottom","0","735.236","18.675","1507.874","38.3","795.276","20.2","1507.874","38.3"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C26","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","624.71","15.868","658.43","16.724","Top","90","624.71","15.868","640.714","16.274","624.71","15.868","658.43","16.724"
"47µF","KON 47µF 6.3V  X5R SMD 20%","C27","CAPC3216X180N","24557","1","","01","","47u","24557","3216 (1206)","650.123","16.513","783.864","19.91","Top","270","650.123","16.513","843.904","21.435","650.123","16.513","783.864","19.91"
"47µF","KON 47µF 6.3V  X5R SMD 20%","C28","CAPC3216X180N","24557","1","","01","","47u","24557","3216 (1206)","652.687","16.578","1067.493","27.114","Top","270","652.687","16.578","1127.533","28.639","652.687","16.578","1067.493","27.114"
"47µF","KON 47µF 6.3V  X5R SMD 20%","C29","CAPC3216X180N","24557","1","","01","","47u","24557","3216 (1206)","305.118","7.75","1102.362","28","Bottom","270","305.118","7.75","1162.402","29.525","305.118","7.75","1102.362","28"
"47µF","KON 47µF 6.3V  X5R SMD 20%","C30","CAPC3216X180N","24557","1","","01","","47u","24557","3216 (1206)","2685.039","68.2","696.85","17.7","Bottom","90","2685.039","68.2","636.811","16.175","2685.039","68.2","696.85","17.7"
"470nF","KON 470nF X5R 6.3V SMD","C31","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1235.777","31.389","983.648","24.985","Bottom","270","1235.777","31.389","994.869","25.27","1235.777","31.389","983.648","24.985"
"470nF","KON 470nF X5R 6.3V SMD","C32","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1372.296","34.856","789.6","20.056","Bottom","180","1383.516","35.141","789.6","20.056","1372.296","34.856","789.6","20.056"
"470nF","KON 470nF X5R 6.3V SMD","C33","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1333.255","33.865","864.521","21.959","Bottom","180","1344.475","34.15","864.521","21.959","1333.255","33.865","864.521","21.959"
"470nF","KON 470nF X5R 6.3V SMD","C34","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1361.533","34.583","708.375","17.993","Bottom","90","1361.533","34.583","697.154","17.708","1361.533","34.583","708.375","17.993"
"470nF","KON 470nF X5R 6.3V SMD","C35","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1143.782","29.052","723.823","18.385","Bottom","270","1143.782","29.052","735.044","18.67","1143.782","29.052","723.823","18.385"
"470nF","KON 470nF X5R 6.3V SMD","C36","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1148.71","29.177","909.898","23.111","Bottom","0","1137.49","28.892","909.898","23.111","1148.71","29.177","909.898","23.111"
"470nF","KON 470nF X5R 6.3V SMD","C37","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1354.684","34.409","831.747","21.126","Bottom","0","1343.464","34.124","831.747","21.126","1354.684","34.409","831.747","21.126"
"470nF","KON 470nF X5R 6.3V SMD","C38","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1168.929","29.691","865.102","21.974","Bottom","270","1168.929","29.691","876.322","22.259","1168.929","29.691","865.102","21.974"
"470nF","KON 470nF X5R 6.3V SMD","C39","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1281.994","32.563","796.86","20.24","Bottom","180","1293.215","32.848","796.86","20.24","1281.994","32.563","796.86","20.24"
"470nF","KON 470nF X5R 6.3V SMD","C40","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1332.029","33.834","668.194","16.972","Bottom","270","1332.029","33.834","679.415","17.257","1332.029","33.834","668.194","16.972"
"470nF","KON 470nF X5R 6.3V SMD","C41","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1248.134","31.703","717.721","18.23","Bottom","270","1248.134","31.703","728.941","18.515","1248.134","31.703","717.721","18.23"
"47µF","KON 47µF 6.3V  X5R SMD 20%","C42","CAPC3216X180N","24557","1","","01","","47u","24557","3216 (1206)","2645.669","67.2","1047.244","26.6","Top","90","2645.669","67.2","987.205","25.075","2645.669","67.2","1047.244","26.6"
"470nF","KON 470nF X5R 6.3V SMD","C43","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1211.32","30.768","703.69","17.874","Bottom","270","1211.32","30.768","714.911","18.159","1211.32","30.768","703.69","17.874"
"470nF","KON 470nF X5R 6.3V SMD","C44","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1259.51","31.992","865.397","21.981","Bottom","180","1270.73","32.277","865.397","21.981","1259.51","31.992","865.397","21.981"
"470nF","KON 470nF X5R 6.3V SMD","C45","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1252.132","31.804","911.038","23.14","Bottom","270","1252.132","31.804","922.259","23.425","1252.132","31.804","911.038","23.14"
"470nF","KON 470nF X5R 6.3V SMD","C46","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1122.931","28.522","826.861","21.002","Bottom","0","1111.71","28.237","826.861","21.002","1122.931","28.522","826.861","21.002"
"470nF","KON 470nF X5R 6.3V SMD","C47","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1061.509","26.962","728.676","18.508","Bottom","180","1072.729","27.247","728.676","18.508","1061.509","26.962","728.676","18.508"
"470nF","KON 470nF X5R 6.3V SMD","C48","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1333.981","33.883","759.172","19.283","Bottom","270","1333.981","33.883","770.393","19.568","1333.981","33.883","759.172","19.283"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C49","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1283.038","32.589","830.62","21.098","Bottom","180","1300.755","33.039","830.62","21.098","1283.038","32.589","830.62","21.098"
